,Oncology Innovation Benefit,,,,,You have cover for a defined list of innovative cancer medicine that meet the Scheme’s criteria. You will need to pay 25% of the cost of these treatments.,,,,,"You have cover for a defined list of innovative cancer medicine that meet the Scheme’s criteria. You will need to pay 25%  of the cost of these treatments. A 50%
co-payment applies to a select list of novel and ultra high-cost treatment and conditions.",,,,"You have cover for a sub-set of the defined list of innovative cancer medicine, subject to the Scheme’s clinical entry criteria. You will need to pay 50%
of the cost of these treatments.",,"You have cover for a sub-set of the defined list of innovative cancer medicine, subject to the Scheme’s clinical entry criteria. You will need to pay 50% of the cost of these treatments.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,This plan does not offer this benefit.,,,,,"You have cover for a sub-set of the defined list of innovative cancer medicine, subject to the
Scheme’s clinical entry criteria. You will need to pay 50% of the cost of these treatments.",,,,,,,,,,,,,,,These plans do not offer this benefit.,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,SMART,,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,,
HOSPITAL COVER,Private hospital cover in a general ward,,,,,"Unlimited cover plus private ward cover of up to R2,700 each day.",,,,,"Unlimited cover plus private ward cover up to R2,700 per day for your delivery.",,,,,,Unlimited cover,,,,,,,,,,,Unlimited cover,,,,,,,,,,,,,,Unlimited cover,,,,,,,,,"Neonatal hospitalization: Limited to
R70 000 per family per year. Unlimited cover for other admissions.",,,,,Unlimited cover,,,,,,,,,,,,,,,Unlimited cover,,,,,,,,,,,,
,Private hospital,,,,,You are covered in any facility approved by the Scheme.,,,,,You are covered in any facility approved by the Scheme.,,,,"Full cover in the Smart Hospital Network.
For planned admissions at hospitals outside of the Smart Hospital Network, you must pay an upfront payment of R12,200 to the hospital.",,"You are covered in any facility approved by the Scheme. An upfront payment of between R4,800 to R22,850 applies for a defined list of procedures.
Where these procedures form part of the list of procedures to be performed in our Day Surgery Network, the higher of the upfront payments will apply.",,,,,,,,,,,"You are covered in any facility approved by the Scheme.
Full cover on Delta options when using the Delta Hospital Network of private hospitals or our designated service provider (DSP) for home-based care, where clinically appropriate. For planned admissions outside of the Delta Hospital Network, you must pay an upfront payment to the hospital of R10,700.
If you are admitted to any facility for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,,,,,"Full cover in any approved private hospital in the four coastal provinces network.
If you use a hospital outside the coastal network, we pay up to 70% of the DHR of the
hospital account and you must pay the difference.",,,,,,"Full cover in the Smart Hospital Network or our designated service provider (DSP) for home-based care, where clinically appropriate. For planned admissions at hospitals outside of the Smart Hospital Network, you must pay an upfront payment of R12,200 to the hospital.
For the Essential Dynamic Smart plan, full cover in the Dynamic Smart Hospital Network as referred by Ask Discovery, or our designated service provider (DSP) for home-based care, where clinically appropriate.
For planned admissions at hospitals outside of the Dynamic Smart Hospital Network, you must pay an upfront payment of R14,750 to the hospital.
If you are admitted to any facility for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,,,,,,"You must pay an upfront payment of R7,500 to
the hospital for any planned admissions in the Dynamic Smart Hospital Network as referred by Ask Discovery, or our designated service provider (DSP) for home- based care, where clinically appropriate.
For planned admissions at hospitals outside of the Dynamic Smart Hospital Network, you must pay an upfront payment of R14,750 to the hospital.
If you are admitted to any facility
for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,,"You are covered in any facility approved by the Scheme.
Full cover on Delta options when using the Delta Hospital Network of private hospitals or our designated service provider (DSP) for home-based care, where clinically appropriate.
For planned admissions outside of the Delta Hospital Network, you must pay an upfront payment to the hospital of R10,700.
If you are admitted to any facility for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,,,,,,,"Full cover in any approved private hospital in the four coastal provinces network.
If you use a hospital outside the coastal network, we pay up to 70% of the DHR of the
hospital account and you must pay the difference.",,,,,"Full cover if you use a hospital in the KeyCare Hospital Network or our designated service provider (DSP) for home-based care, where clinically appropriate.
If you use a hospital in the Partial Cover Network, we pay up to 70% of the DHR.
If you do not use hospitals in the networks, you will have to pay all costs.
If you are admitted to any facility for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,,,"Full cover at your chosen KeyCare Start Network hospital or our designated service provider (DSP) for home-based care, where clinically appropriate.
If you do not use your chosen hospital in the
network, you will have to pay all costs.
If you are admitted to any facility
for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,,,"Full cover at your chosen KeyCare Start Regional Network  hospital or our designated service provider (DSP) for home- based care, where clinically appropriate.
If you do not use your chosen hospital in the
network, you will have to pay all costs.
If you are admitted to any facility
for planned admissions that meet the criteria for home-based care, you must pay an upfront payment to the hospital of R5,250.",,
,"Defined list of procedures
in our Day Surgery Network",,,,,You are covered in any facility approved by the Scheme.,,,,,"We cover a defined list of procedures in a day surgery facility.
An upfront payment of R7,000 applies for admission to a facility outside of the Day Surgery Network.",,,,"We cover a defined list of procedures in the Smart Day Surgery Network.
An upfront payment of R12,200 applies for admissions to a facility outside of the Smart Day Surgery Network.",,"We cover a defined list of procedures in a Day Surgery Network.
An upfront payment of R7,000 applies for admissions to a facility outside of the Day Surgery Network. Where these procedures form part of the list of
in-hospital procedures with an upfront payment, the higher of the upfront payments will apply.",,,,,,,,,,,"We cover a defined list of procedures in a Day Surgery Network.
An upfront payment of R7,000 applies for admissions to a facility outside of the Day Surgery Network. An upfront payment of R10,700 applies on the Delta options, if performed outside of the Delta Day Surgery Network.",,,,,,,,,,,,,,"We cover a defined list of procedures in the Smart Day Surgery Network.
An upfront payment of R12,200 applies for admissions to a facility outside of the Smart Day Surgery Network as advised by the virtual agent.
On the Essential Dynamic Smart plan, an upfront payment of R14,750 applies for admission to a facility outside of the Dynamic Smart Day Surgery Network.",,,,,,,,,"An upfront payment of R14,750 applies for admission to a facility outside of the Dynamic
Smart Day Surgery Network.",,,,,"We cover a defined list of procedures in a Day Surgery Network.
An upfront payment of R7,000 applies for admissions to a facility outside of the Day Surgery Network. An upfront payment of R10,700 applies on the Delta options, if performed outside of the Delta Day Surgery Network.",,,,,,,,,,,,,,,We cover a defined list of procedures in the KeyCare Day Surgery Network.,,,,,,We cover a defined list of procedures in the KeyCare Start Day Surgery Network.,,,,We cover a defined list of procedures in the KeyCare Start Regional Day Surgery Network.,,
,Full cover option for specialists we have a payment arrangement with,,,,,Full cover,,,,,Full cover,,,,,,Full cover,,,,,,,,,,,Full cover,,,,,,,,,,,,,,Full cover,,,,,,,,,,,,,,Full cover,,,,,,,,,,,,,,,Full cover,,,,,,,,,,,,
,"Reimbursement rate for specialists we do not have
a payment arrangement with",,,,,300% of the DHR,,,,,200% of the DHR,,,,,,200% of the DHR,,,,100% of the DHR,,,,,,,200% of the DHR,,,,100% of the DHR,,,,,,,,,,200% of the DHR,,,,,100% of the DHR,,,,,,,,,200% of the DHR,,,,100% of the DHR,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,
,Reimbursement rate for GPs and other healthcare professionals (not specialists),,,,,200% of the DHR,,,,,200% of the DHR,,,,200% of the DHR,,200% of the DHR,,,,100% of the DHR,,,,,,,200% of the DHR,,,,100% of the DHR,,,,,,,,,,200% of the DHR,,,,,100% of the DHR,,,,,,,,,200% of the DHR,,,,100% of the DHR,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,
,Reimbursement rate for radiology and pathology,,,,,100% of the DHR,,,,,100% of the DHR,,,,,,100% of the DHR,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,,,,100% of the DHR,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,,SMART,,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,CLASSIC,,CLASSIC SMART,,,CLASSIC,,ESSENTIAL,,,,,,,CLASSIC,,,,ESSENTIAL,,,,,COASTAL,,,,,,CLASSIC,,,,ESSENTIAL,,,,,ACTIVE,,,CLASSIC,,,,,ESSENTIAL,,,,,,,COASTAL,,,,,PLUS,,,CORE,,START,,,,,START REGIONAL,,,
"Cover for scopes (gastroscopy, colonoscopy, sigmoidoscopy and proctoscopy) when performed
in-hospital",,,,,,"Depending on where you have your scope done, we pay a portion of between R4,500 and R6,550 from your available
day-to-day benefits and the balance of the hospital and related accounts from your Hospital Benefit. Where both a gastroscopy and colonoscopy are performed, a higher co-payment will apply.
If scopes are performed as part of a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient is under the age of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.",,,,,"Depending on where you have your scope done, we pay a portion of between R4,500 and R6,550 from your available day-to-day benefits and the balance of the hospital and related accounts from your Hospital
Benefit. Where both  a gastroscopy and colonoscopy are performed, a higher co-payment will apply.
If scopes are performed as part of  a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient  is under the age of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.
If performed outside of the Day Surgery Network, the highest of the out-of- network upfront payment or scopes
co-payment will apply.",,,,,,"Depending on where you have your scope done, an upfront payment of between R4,500 and R7,250 applies. We pay the balance of the hospital and related accounts from your Hospital Benefit. Where both a gastroscopy and colonoscopy are performed, a higher upfront payment will apply.
If scopes are performed as part of a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient  is under the age of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.
If performed outside of the Day Surgery Network, the highest of the out-of- network upfront payment or scopes deductible will apply.",,,,,,,,,,,"Depending on where you have your scope done, we pay
a portion of between R4,500 and R7,700 from your available MSA and the balance of the hospital and related accounts from your Hospital Benefit. Where both a gastroscopy and colonoscopy are performed, a higher co-payment will apply.
If scopes are performed as part of a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient is under the age
of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.
If performed outside of the Day Surgery Network, the highest of the out-of-network upfront payment or scopes co-payment will apply.",,,,,,,,,,,,,,"Depending on where you have your scope done, you will have to pay a portion of between R4,500 and R7,700 and we pay the balance of the hospital and related accounts from your Hospital Benefit. Where both a gastroscopy and colonoscopy are performed, a higher upfront payment will apply.
If scopes are performed as part of a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient is under the age
of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.
If performed outside of the Day Surgery Network, the highest of the out-of-network upfront payment or scopes co-payment will apply.",,,,,,,,,,,,,"Depending on where you have your scope done, you will have to pay a portion of between R4,500 and R7,700 and we pay the balance of the hospital and related accounts from your Hospital Benefit. Where both a gastroscopy and colonoscopy are performed, a higher upfront payment will apply.
If scopes are performed as part of a confirmed Prescribed Minimum Benefits (PMB) condition, where indicated and approved for dyspepsia, or the patient is under the age
of 12, you will not have to pay any amount upfront. We pay the account from the Hospital Benefit.
If performed outside of the Day Surgery Network, the highest of the out-of-network upfront payment or scopes co-payment will apply.",,,,,,,,,,,,,,,,"Prescribed Minimum Benefit cover, in the KeyCare Day Surgery Network.
If done in the doctor’s rooms, we pay the account from the Hospital Benefit.",,,,,"Prescribed Minimum Benefit cover, in the KeyCare Start Day Surgery Network. If done in the doctor’s rooms,
we pay the account from the Hospital Benefit.",,,,,"Prescribed Minimum Benefit cover, in the KeyCare Start Regional Day Surgery Network. If done in the doctor’s rooms,
we pay the account from the Hospital Benefit.",,
"Cover for scopes (gastroscopy, colonoscopy, sigmoidoscopy and proctoscopy) when",,,,,,"We pay the first R1,750 of the scope from your day-to-day benefits. Where both a gastroscopy and colonoscopy is done, we pay the first R3,000 from your available day-to-day benefits. The co-payment will not apply if the scope is performed at a network provider.",,,,,,,,,,,,,,,,,,,,,,"We pay the first R1,750 of the scope from your day-to-day benefits. Where both a gastroscopy and colonoscopy is done, we pay the first R3,000 from your available day-to- day benefits. The co-payment will not apply if the scope is performed at a network provider.",,,,,,,,,,,,,"You will have to pay the first R1,750 of the scope. Where both a gastroscopy and colonoscopy is done,
an upfront payment of R3,000 applies. The co-payment will not apply if the scope is performed at a network provider.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
performed in-rooms,,,,We pay the balance of the account from the Hospital Benefit up to 300% of the Discovery Health Rate.,,,,,,We pay the balance of the account from the Hospital Benefit up to 200% of the Discovery Health Rate.,,,,,,,We pay the balance of the account from the Hospital Benefit up to 200% of the Discovery Health Rate.,,,We pay the balance of the account from the Hospital Benefit up to 100% of the Discovery Health Rate.,,,,,,,We pay the balance of the account from the Hospital Benefit up to 200% of the Discovery Health Rate.,,,,We pay the balance of the account from the Hospital Benefit up to 100% of the Discovery Health Rate.,,,,,,,,,,,We pay the balance of the account from the Hospital Benefit up to 200% of the Discovery Health Rate.,,,,We pay the balance of the account from the Hospital Benefit up to 100% of the Discovery Health Rate.,,,,,,,,,We pay the balance of the account from the Hospital Benefit up to 200% of the Discovery Health Rate.,,,,We pay the balance of the account from the Hospital Benefit up to 100% of the Discovery Health Rate.,,,,,,,,,,,,,,,,,,,,,,,,
Cover for MRI and CT scans related to admission,,,,,"If done as part of an approved admission, we will pay up to 100% of the DHR from the Hospital Benefit.",,,,,,,,,,,,,,,,,,,,,"If done as part of an approved admission, we will pay up to 100% of the DHR from the Hospital Benefit.",,,,,,,,,,,,,,,"If done as part of an approved hospital admission, we will pay up to 100% of the DHR from the Hospital Benefit.",,,,,,,,,,,,,,"If done as part of an approved admission, we will pay up to 100% of the DHR from the Hospital Benefit.",,,,,,,,,,,,,,,"If done as part of an approved admission, we will pay up to 100% of the DHR from the Hospital Benefit.",,,,,,,,,,,,,
,,Cover for MRI and CT scans if not related to admission or for back and neck treatment,,,"We pay the first R3,850 of the scan from your day-to- day benefits. We pay the balance of the scan from the Hospital Benefit, up to 100% of the DHR. Limited to one scan per spinal and neck region.",,,,,,"We pay the first R3,850 of the scan from your day-to-day benefits. We pay the balance of the scan from the Hospital Benefit, up to 100% of the DHR. Limited to one scan per spinal and neck region.",,,,,,"We pay the first R3,850 of the scan from day-to-day benefits. We pay the balance of the scan from the Hospital Benefit up to 100% of the DHR. For conservative back and neck treatment, you must pay the first R4,800 of the hospital account. We pay the balance of the scan from the Hospital Benefit up to 100% of the DHR. Limited to one scan per spinal and neck region.",,,,,,,,,,,"We pay the first R3,850 of the scan from your available MSA. We pay the balance of the scan from the Hospital Benefit, up to 100% of the DHR. Limited to one scan per spinal and neck region.",,,,,,,,,,,,,"You need to pay the first R3,850 of the scan. We pay the balance of the scan from the Hospital Benefit, up to 100% of the DHR. Limited to
one scan per spinal and neck region.",,,,,,These plans do not offer this benefit.,,,,,,,These plans do not offer this benefit.,,,,,,,,,,,"We pay scans from the Specialist Benefit up to a limit of R5,550 for each person each year.",,,,,,,,,,,,"We pay scans from the Specialist Benefit up to a limit of R2,780 for each person each year.",,,,,,
"Advanced Illness Benefit
Africa Evacuation Benefit
Assisted Reproductive Therapy (ART)",,,,,,"Members have access to a comprehensive palliative care programme. This programme offers unlimited cover for approved care at home, care coordination, counselling services and supportive care for appropriate end-of-life clinical and psychologist services. You also have access to a GP consultation to facilitate your palliative care treatment plan.
Cover for emergency medical evacuations from certain sub-Saharan African countries back to South Africa. Pre-existing conditions are excluded.                                                                                                                                                      These plans do not offer these benefits.
You have cover for up to two cycles of ART if you meet the Scheme’s benefit entry criteria. Cover includes a basket of care which includes cover for consultations, ultrasounds, oocyte retrieval, embryo transfer and freezing, admission costs including lab fees, medication and embryo and sperm",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"storage. This benefit also includes cover for egg donated
cycles. If you are registered on the Oncology Programme and meet the Scheme’s clinical entry criteria, you have access to egg and sperm cryopreservation for up to five years. We pay up to a limit of R135,000 per person per year at 75% of the DHR. A co-payment of 25% will apply.",,,,,,,,,,These plans do not offer these benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Care Programmes,,,,,"Preventative and condition-specific care programmes for diabetes, mental health, HIV and heart conditions. We cover preventative and condition-specific care programmes that help you to manage diabetes, mental health, HIV or heart-related medical conditions. You have to be registered on these condition-specific care programmes to unlock additional benefits and services. You and your Premier Plus GP can track progress on a personalised dashboard to identify the next steps to optimally manage your condition and stay healthy over time. Cover is subject to the Scheme’s clinical entry criteria, treatment guidelines and protocols.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Members diagnosed with depression must be enrolled on the Mental Health Care Programme to avoid a 20%
co-payment on their
consultations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Members diagnosed with depression must be enrolled on the Mental Health Care Programme to avoid a 20%
co-payment on their consultations.",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXECUTIVE,,,,,,,,,,COMPREHENSIVE,,,,,,PRIORITY,,,,,,SAVER,,,,,,,,,,,SMART,,,,,,,,,,,,,,,,CORE,,,,,,,,,,,,,,KEYCARE,,,,,,,,,,,,,,,,,,,,
ADDITIONAL BENEFITS,Mental Wellbeing,,,,,"Members identified with moderate to severe symptoms of depression following a mental wellbeing assessment, have access to to a virtual or face-to-face consultation, where applicable, with a Premier Plus GP or network psychologist, coaching sessions with a social worker, two consultations with a dietitian, and a clinically appropriate digital mental wellbeing course. Cover is subject to clinical entry criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Care at Home,,,,,"You have access to hospital-level care in your home instead of having to go to hospital for acute hospital care. The Hospital at Home devices and healthcare services are accessible if you meet the clinical and benefit criteria. You will receive a Home Monitoring Device Benefit for essential home monitoring and home-based care for follow up treatment after an admission. The Home Monitoring Device Benefit offers a range of essential and registered home monitoring devices for certain chronic and acute conditions. Approved cover for these devices will not affect your day-to-day benefits. If you meet the scheme’s clinical entry criteria, you have healthcare cover up to a limit of R4,700 per person per year, at 100% of the DHR.",,,,,,,,,,,,,,,,,,,,,,"You have access to hospital-level care in your home instead of having to go to hospital for acute hospital care. The Hospital at Home devices and healthcare services are accessible if you meet the clinical and benefit criteria. You will receive a Home Monitoring Device Benefit for essential home monitoring and home-based care for follow up treatment after an admission. The Home Monitoring Device Benefit offers a range of essential and registered home monitoring devices for certain chronic and acute conditions. Approved cover for these devices  will not affect your day-to-day benefits. If you meet the scheme’s clinical entry criteria, you have healthcare cover up to a limit of R4,700 per person per year, at 100% of the DHR. Hospital at Home is the designated service provider (DSP) for the Delta, Smart and KeyCare plans for home-based care for qualifying conditions such as chronic obstructive pulmonary disease, pneumonia, complicated urinary tract infection, heart failure, cellulitis, deep vein thrombosis, asthma and diabetes. Should members choose to not make use of Hospital at Home once a healthcare provider has recommended it as part of their care, an upfront deductible of R5,250 will apply to the admission.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"The Scheme also covers defined point of care medical devices up to 75% of the DHR, if you meet the clinical entry criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,These plans do not offer these benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virtual Physical Therapy,,,,,"Access to personalised and evidence-based virtual physical therapy, prescribed by an appropriate healthcare professional. Virtual Physical Therapy will be paid from your available day-to-day benefits, if applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Access to personalised and evidence-based virtual physical therapy, prescribed by an appropriate healthcare professional. You will have to pay for claims related to Virtual Physical Therapy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Virtual Urgent Care,,,,,"Skip the waiting room and urgently consult with a doctor 24/7 online and get digital prescriptions – no matter where you are. We cover you up to four virtual urgent care sessions per family per year, subject to clinical entry criteria. Any additional sessions will fund from your available day-to-day benefits, if applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skip the waiting room and urgently consult with a doctor 24/7 online and get digital prescriptions – no matter where you are. We cover you up to four virtual urgent care sessions per family per year, subject to clinical entry criteria. You will need to fund any additional sessions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Skip the waiting room and urgently consult with a doctor 24/7 online and get digital prescriptions – no matter where you are. We cover you for one virtual urgent care sessions per member, per year, subject to clinical entry criteria. You will need to fund any additional sessions.",,,,,,,,,,,,
,Screening and Prevention Benefit,,,,,"This benefit covers a health check which is made up of certain tests at one of our wellness network providers, like blood glucose, blood pressure, cholesterol and body mass index. We also cover a mammogram every two years, Pap smear every three years or one HPV test every 5 years, a mental wellbeing assessment every year, PSA (a prostate screening test) once a year and HIV screening tests. Seasonal flu vaccine during pregnancy, or for members 65 years or older and/or registered for certain chronic conditions. Pneumococcal vaccine for persons over the age of 65 and/or registered for certain chronic conditions. We also cover bowel cancer screening tests every two years for members between 45 and 75 years. Additional, and/or more frequent screening is available for those who meet our clinical criteria. Consultations that do not form part of Prescribed Minimum Benefits (PMBs) will be paid from your available day-to-day benefits. Kids screening tests include the measurement of weight, height, body mass index and blood pressure at one of our wellness providers.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Personal Health Fund,,,,,"The Personal Health Fund covers a comprehensive list of out-of-hospital healthcare services according to your individual health needs once you’ve activated Personal Health Pathways and completed your recommended next best action. Your Personal Health Fund limit depends on your plan type, the size and make up of your family (according to your policy). If you are a new Discovery Health Medical Scheme members for 2025, you will be able to double your limit stated below.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,"R2,500 per adult, R1,250 per child, max R10,000 per family.",,,,,,,,,,,,,,,"R1,500 per adult, R750 per child, max R6,000 per family",,,,,,,"R2,500 per adult, R1,250 per child, max R10,000 per family.",,,,"R1,500 per adult, R750 per child, max R6,000 per family",,,,,,,,,,"R2,000 per adult, R1,000 per child, max R8,000 per family",,,,,"R1,000 per adult, R500 per child, max R4,000 per family",,,,,,,,,"R2,000 per adult, R1,000 per child, max R8,000 per family",,,,"R1,000 per adult, R500 per child, max R4,000 per family",,,,,,,,,,,"R500 per adult, R250 per child, max R1,000 per family",,,,,,,,,,,,
,Trauma Recovery Extender Benefit,,,,,"Extends your cover for out-of-hospital claims for recovery after certain traumatic events for the rest of the year in which the trauma took place, and a year after the trauma. You and your dependants on your health plan also have access to six counselling sessions per person per year by a psychologist, clinical social worker or registered counsellor.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,WHO Global Outbreak Benefit,,,,,"Provides cover for approved global disease outbreaks recognised by the World Health Organisation (WHO) such as COVID-19 and Mpox. This benefit provides access to a defined basket of care per disease outbreak, which includes cover for the administration of vaccines (where applicable) and relevant out-of-hospital treatment.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Digital Mental Health,,,,,"Access an on-demand digital mental healthcare platform for evidence–based support programmes and tools with Digital Mental Health. If you are diagnosed with depression your claims will fund from your Prescribed Minimum Benefits (PMBs) or Mental Health Care Programme, if enrolled, subject to clinical entry criteria. If you do not meet the criteria or have used your benefits, claims will fund from your available day-to-day benefits, if applicable.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,International Travel Benefit,,,,,"Cover up to
$1 million for each person on each journey for emergency medical costs while travelling
outside of South Africa, for a period of 90 days from your departure from South Africa. Specific rules apply and pre-existing conditions are excluded.",,,,,"Cover up to R5 million for each person on each journey for emergency medical costs while travelling outside of South Africa, for a period of 90 days from your departure from South Africa. Specific rules apply and pre-existing conditions are excluded.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,These plans do not offer these benefits.,,,,,,,,,,,,
,Overseas Treatment Benefit,,,,,"Up to R750,000
for each person travelling for evidence-based healthcare treatment not available in South Africa. You also have cover for R300,000 at
a recognised healthcare provider for in-hospital treatment that
is available in South Africa. A co-payment of 20% and specific
rules apply to these benefits.",,,,,"Up to R500,000 for each person travelling for evidence-based healthcare treatment not available in South Africa. A co-payment of 20% and specific rules apply to this benefit.",,,,,,These plans do not offer these benefits.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Discovery Health Rate (DHR) is a rate we pay for healthcare services from hospitals, pharmacies, healthcare professionals and other providers of relevant health services.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.discovery.co.za                @Discovery_SA               discoverysouthafrica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
